,Ridership
1,12286897
2,11415793
3,12914296
4,12287737
5,13148263
6,13016951
7,13382993
8,13374592
9,12314751
10,13916090
11,12476056
12,11205083
13,12309991
14,11506712
15,12183410
16,12815884
17,12973404
18,12714364
19,13392822
20,13036551
21,13078121
22,14374766
23,12434841
24,11543686
25,11860130
26,11203581
27,12341355
28,12391027
29,12602473
30,12715662
31,13376266
32,12687510
33,13328526
34,14448488
35,11813039
36,11551523
37,11309196
38,11347503
39,12773186
40,12333972
41,12067329
42,12968602
43,12849068
44,12529356
45,13107556
46,13384825
47,12271717
48,11370102
49,11581403
50,11401625
51,12659665
52,12755659
53,12964006
54,13498294
55,13139642
56,13538824
57,14194677
58,14336020
59,12938006
60,11979336
61,12407347
62,11889136
63,13710273
64,12951806
65,14089195
66,14001407
67,14148715
68,14444081
69,14264352
70,14747955
71,13317975
72,11993989
73,12617830
74,11366892
75,13445416
76,12574531
77,13647689
78,13698349
79,14046147
80,14035867
81,13603498
82,14710126
83,12796204
84,11360696
85,12329732
86,12410563
87,12916861
88,13837585
89,13944972
90,14077655
91,14898685
92,14702332
93,14780937
94,15822528
95,13156204
96,12412709
97,12670605
98,12495760
99,13906626
100,13884272
101,13766591
102,14391134
103,15133049
104,14337678
105,15039598
106,15404020
107,13580544
108,12605758
109,12713539
110,12794456
111,14553926
112,14590334
113,14380178
114,15119802
115,15169200
116,15321024
117,15671310
118,15909767
119,14441053
120,12897371
121,13481258
122,13081983
123,15432089
124,14812301
125,15151493
126,15980399
127,16825884
128,17036083
129,16220005
130,16695016
131,15339673
132,14132701
133,14665493
134,14770667
135,16276278
136,15465258
137,16155559
138,16288673
139,15773338
140,16883876
141,16287906
142,17825589
143,15716325
144,13849353
145,14757704
146,14033842
147,15251953
148,15885919
149,15715412
150,15256300
151,16037793
152,16234436
153,16001038
154,17598968
155,15654406
156,14278917
157,14268127
158,14587621
159,16421749
160,16599115
161,16649634
162,16487634
163,17042911
164,16734994
165,17306655
166,18411645
167,15337239
168,14979565
169,14698498
170,14097691
171,16449070
172,16404520
173,16492679
174,17255694
175,17977486
176,17049933
177,17772902
178,18632339
179,15984523
180,15226073
181,14836599
182,15212277
183,16677633
184,16141007
185,16597555
186,17085925
187,16813640
188,16886476
189,17097002
190,17885645
191,16322767
192,13999200
193,14626737
194,14142406
195,16073109
196,15169117
197,16298485
198,16737259
199,15917931
200,16967756
201,16572350
202,17336213
203,15338822
