"","Station","long","lat","Count"
"1","18th (Pink Line)",-87.669147,41.857908," 7,728,358"
"2","35th/Archer (Orange Line)",-87.680622,41.829353,"13,861,601"
"3","35th-Bronzeville-IIT (Green Line)",-87.625826,41.831677,"11,484,923"
"4","43rd (Green Line)",-87.619021,41.816462," 5,168,420"
"5","47th (Green Line)",-87.618826,41.809209," 6,932,337"
"6","47th (Red Line)",-87.63094,41.810318,"16,186,014"
"7","51st (Green Line)",-87.618487,41.80209," 5,898,421"
"8","54th/Cermak (Pink Line)",-87.75669201,41.85177331," 9,538,264"
"9","63rd (Red Line)",-87.630952,41.780536,"17,963,458"
"10","69th (Red Line)",-87.625724,41.768367,"31,275,027"
"11","79th (Red Line)",-87.625112,41.750419,"40,111,400"
"12","87th (Red Line)",-87.624717,41.735372,"25,699,691"
"13","95th/Dan Ryan (Red Line)",-87.624342,41.722377,"66,130,012"
"14","95th/Ran Ryan (Red Line)",-87.624342,41.722377,"66,130,012"
"15","Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)",-87.626037,41.879507,"38,987,615"
"16","Addison (Blue Line)",-87.71906,41.94738,"13,533,779"
"17","Addison (Brown Line)",-87.674642,41.947028,"10,736,466"
"18","Addison (Red Line)",-87.653626,41.947428,"45,486,543"
"19","Argyle (Red Line)",-87.65853,41.973453,"15,355,806"
"20","Armitage (Brown & Purple Lines)",-87.652644,41.918217,"19,616,259"
"21","Ashland/63rd (Green Line)",-87.663766,41.77886," 8,698,991"
"22","Ashland (Green & Pink Lines)",-87.666969,41.885269,"11,167,236"
"23","Ashland (Orange Line)",-87.665317,41.839234," 7,816,844"
"24","Austin (Blue Line)",-87.776812,41.870851," 9,496,590"
"25","Austin (Green Line)",-87.774135,41.887293,"10,320,954"
"26","Belmont (Blue Line)",-87.712359,41.938132,"25,648,902"
"27","Belmont (Red, Brown & Purple Lines)",-87.65338,41.939751,"64,712,230"
"28","Berwyn (Red Line)",-87.658668,41.977984,"18,475,197"
"29","Bryn Mawr (Red Line)",-87.65884,41.983504,"25,160,238"
"30","California  (Blue Line)",-87.69689,41.921939,"20,773,077"
"31","California (Blue Line)",-87.69689,41.921939,"20,773,077"
"32","California (Green Line)",-87.696234,41.88422," 5,300,155"
"33","California (Pink Line)",-87.694774,41.854109," 5,898,573"
"34","Central (Green Line)",-87.76565,41.887389,"12,181,276"
"35","Central Park (Pink Line)",-87.714842,41.853839," 4,709,391"
"36","Central (Purple Line)",-87.685617,42.063987," 4,614,105"
"37","Cermak-Chinatown (Red Line)",-87.630968,41.853206,"21,755,458"
"38","Cermak-McCormick Place (Green Line)",-87.626402,41.853115," 1,288,184"
"39","Chicago (Blue Line)",-87.655214,41.896075,"17,272,005"
