"","album_uri","album_name","album_img","album_release_date","album_release_year","album_popularity","track_name","track_uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode","track_popularity"
"1","2hiaTewE7yuXxWpZlMqUA2","songs for October","https://i.scdn.co/image/7447b186750f2110452c0a879f7b9685581f8847","2005-01-01",2005-01-01,50,"freeway searching","4jjHPctmNwKS0Gwpc7cVFM",0.499,0.301,"E",-12.831,"major",0.0289,0.907,0.0397,0.112,0.301,100.773,273293,4,"E major",45
"2","2hiaTewE7yuXxWpZlMqUA2","songs for October","https://i.scdn.co/image/7447b186750f2110452c0a879f7b9685581f8847","2005-01-01",2005-01-01,50,"black & blue","3EJEjfEOhhQPKyuUASzmMC",0.214,0.271,"D",-10.811,"major",0.0339,0.708,4.31e-05,0.114,0.182,128.251,239427,3,"D major",31
"3","2hiaTewE7yuXxWpZlMqUA2","songs for October","https://i.scdn.co/image/7447b186750f2110452c0a879f7b9685581f8847","2005-01-01",2005-01-01,50,"shining offa you","3ay0LQ532E2Akqoiehx4AA",0.463,0.269,"C",-13.628,"major",0.0289,0.724,8.51e-05,0.0982,0.19,100.162,222133,4,"C major",39
"4","2hiaTewE7yuXxWpZlMqUA2","songs for October","https://i.scdn.co/image/7447b186750f2110452c0a879f7b9685581f8847","2005-01-01",2005-01-01,50,"garden","6JQD0aZgPRajrTbmsUn6sE",0.527,0.226,"G#",-19.611,"major",0.0357,0.649,0.182,0.303,0.331,93.054,226147,4,"G# major",52
"5","2hiaTewE7yuXxWpZlMqUA2","songs for October","https://i.scdn.co/image/7447b186750f2110452c0a879f7b9685581f8847","2005-01-01",2005-01-01,50,"salt & the sea","7lwMJqZSafMXUDholAebi7",0.67,0.179,"A",-16.514,"minor",0.13,0.926,0.000345,0.113,0.189,141.972,185573,4,"A minor",31
"6","2hiaTewE7yuXxWpZlMqUA2","songs for October","https://i.scdn.co/image/7447b186750f2110452c0a879f7b9685581f8847","2005-01-01",2005-01-01,50,"crooked muse","1Znv1oFp2UbRsHCXRBvdsp",0.411,0.294,"E",-13.431,"minor",0.0289,0.886,0.00229,0.114,0.162,90.342,249920,4,"E minor",37
"7","2hiaTewE7yuXxWpZlMqUA2","songs for October","https://i.scdn.co/image/7447b186750f2110452c0a879f7b9685581f8847","2005-01-01",2005-01-01,50,"august clown","3blUIpMnWrCGJDQbLAhXvV",0.349,0.133,"C",-17.373,"major",0.0444,0.889,0.000661,0.119,0.283,167.435,219133,4,"C major",37
"8","7ecZGh7SICLEkqqkBNXfvE","That Sea, The Gambler","https://i.scdn.co/image/8f8376ed4cacfb6b084202ff1acdd787c5982036","2007-06-28",2007-06-28,61,"All There Is","6hN8XWJEnsCSBZJ4v8Ckdq",0.58,0.158,"E",-12.236,"major",0.038,0.865,0.00068,0.0984,0.163,131.969,142667,4,"E major",44
"9","7ecZGh7SICLEkqqkBNXfvE","That Sea, The Gambler","https://i.scdn.co/image/8f8376ed4cacfb6b084202ff1acdd787c5982036","2007-06-28",2007-06-28,61,"The Stable Song","3G9ETaH55bMQx8hwNhAgbU",0.625,0.432,"D",-11.948,"major",0.0283,0.633,0.00242,0.127,0.361,137.926,360933,4,"D major",64
"10","7ecZGh7SICLEkqqkBNXfvE","That Sea, The Gambler","https://i.scdn.co/image/8f8376ed4cacfb6b084202ff1acdd787c5982036","2007-06-28",2007-06-28,61,"Black & Blue","76r1FmtRgDKkiZ6Uru459R",0.607,0.349,"D",-12.165,"major",0.0271,0.661,0.0499,0.105,0.217,128.819,228333,3,"D major",42
"11","7ecZGh7SICLEkqqkBNXfvE","That Sea, The Gambler","https://i.scdn.co/image/8f8376ed4cacfb6b084202ff1acdd787c5982036","2007-06-28",2007-06-28,61,"San Francisco","1wNYvDX8Oa80hItEFjLv4d",0.39,0.251,"C",-15.676,"major",0.0313,0.96,0.25,0.11,0.104,139.654,340187,4,"C major",40
"12","7ecZGh7SICLEkqqkBNXfvE","That Sea, The Gambler","https://i.scdn.co/image/8f8376ed4cacfb6b084202ff1acdd787c5982036","2007-06-28",2007-06-28,61,"Salt And The Sea","1oyIY3lMleK7hqj20Asgq7",0.734,0.264,"C",-14.589,"major",0.0531,0.912,4.76e-05,0.258,0.183,80.178,208400,4,"C major",37
"13","7ecZGh7SICLEkqqkBNXfvE","That Sea, The Gambler","https://i.scdn.co/image/8f8376ed4cacfb6b084202ff1acdd787c5982036","2007-06-28",2007-06-28,61,"John Brown's Body","0Bu7VSqw9SSeGadclK33LQ",0.473,0.392,"G",-12.472,"major",0.0294,0.702,0.288,0.112,0.47,88.882,322080,4,"G major",38
"14","7ecZGh7SICLEkqqkBNXfvE","That Sea, The Gambler","https://i.scdn.co/image/8f8376ed4cacfb6b084202ff1acdd787c5982036","2007-06-28",2007-06-28,61,"3 A.m.","2gH3RiUmUeR780Ngwx5T6r",0.446,0.222,"D",-13.47,"major",0.0282,0.909,0.0274,0.11,0.412,92.353,286707,4,"D major",46
"15","7ecZGh7SICLEkqqkBNXfvE","That Sea, The Gambler","https://i.scdn.co/image/8f8376ed4cacfb6b084202ff1acdd787c5982036","2007-06-28",2007-06-28,61,"That Sea, The Gambler","12VXe2fhXFRtnU2k1imuCW",0.559,0.439,"B",-11.059,"minor",0.0266,0.78,0.0247,0.099,0.314,114.868,293560,4,"B minor",45
"16","7ecZGh7SICLEkqqkBNXfvE","That Sea, The Gambler","https://i.scdn.co/image/8f8376ed4cacfb6b084202ff1acdd787c5982036","2007-06-28",2007-06-28,61,"Raising Cain","3d0c3CYVzCxFugAKfTq2Gy",0.499,0.435,"D",-11.259,"major",0.0301,0.801,0.0296,0.219,0.288,97.893,278733,4,"D major",44
