"HD","Star"
"28",""
"87",""
"123","V640 Cas"
"142",""
"144",""
"315",""
"319",""
"344",""
"352","AP Psc"
"358","Alpheratz"
"360",""
"432","Caph"
"448",""
"493",""
"496",""
"560",""
"571",""
"587",""
"636",""
"645",""
"693",""
"720",""
"739",""
"787",""
"886","Algenib"
"905",""
"942",""
"1013",""
"1014","AD Cet"
"1032",""
"1038","AE Cet"
"1061","UU Psc"
"1064",""
"1187",""
"1227",""
"1239",""
"1279",""
"1280",""
"1317",""
"1337","AO Cas"
"1404",""
"1438",""
"1439",""
"1522",""
"1563",""
"1581",""
"1606",""
"1632",""
"1635",""
"1671",""
"1685",""
"1737",""
"1760","T Cet"
"1796",""
"1801",""
"1835","BE Cet"
"1967","R And"
"1967",""
"1976",""
"2011",""
"2051",""
"2054",""
"2114",""
"2140",""
"2151",""
"2261","Ankaa"
"2262",""
"2273",""
"2363",""
"2410",""
"2411","TV Psc"
"2421",""
"2429",""
"2436",""
"2490",""
"2626",""
"2628","GN And"
"2637",""
"2696",""
"2724","BB Phe"
"2726",""
"2729",""
"2767",""
"2772",""
"2774",""
"2834",""
"2884",""
"2885",""
"2905",""
"2910",""
"2913",""
"2952",""
"3003",""
"3038",""
"3059",""
"3112",""
"3158",""
"3196",""
"3229",""
"3240",""
"3283",""
"3302",""
"3326","BG Cet"
"3346",""
"3360",""
"3369",""
"3379","AG Psc"
"3421",""
"3443",""
"3512",""
"3546",""
"3574",""
"3627",""
"3651",""
"3690",""
"3712","Schedar"
"3735","Z Scl"
"3807",""
"3817",""
"3823",""
"3837",""
"3856",""
"3901",""
"3919",""
"3980",""
"4058",""
"4065",""
"4088",""
"4089",""
"4128","Diphda"
"4142",""
"4150",""
"4161","YZ Cas"
"4180",""
"4188",""
"4211",""
"4222",""
"4247",""
"4293",""
"4307",""
"4382",""
"4391",""
"4398",""
"4408",""
"4440",""
"4482",""
"4490","XX Psc"
"4502",""
"4526",""
"4568",""
"4585",""
"4614",""
"4622",""
"4627",""
"4628",""
"4636",""
"4656",""
"4676",""
"4727",""
"4727",""
