Date,Time,Distance(miles),Pace ( /mi),Calories
4/18/2016,0:44:45,4.94,0:09:04,563
4/20/2016,0:44:17,5,0:08:52,569
4/21/2016,0:25:15,3.01,0:08:23,341
4/22/2016,0:30:52,3.6,0:08:35,414
4/23/2016,0:25:27,3.01,0:08:27,341
4/24/2016,0:56:10,6.21,0:09:03,728
4/25/2016,1:18:43,8,0:09:51,934
4/28/2016,0:25:28,3.01,0:08:28,340
5/2/2016,0:24:57,3.1,0:08:03,354
5/6/2016,1:06:42,7.01,0:09:31,794
5/8/2016,0:25:59,3.01,0:08:38,337
5/11/2016,1:04:32,6.92,0:09:20,798
5/12/2016,0:37:51,3.9,0:09:42,443
5/19/2016,0:35:14,4,0:08:49,449
5/22/2016,0:34:25,4,0:08:36,449
5/23/2016,0:54:21,6,0:09:04,677
5/24/2016,0:28:59,3.2,0:09:04,364
5/25/2016,0:35:02,3.67,0:09:33,418
5/26/2016,0:29:25,3.25,0:09:03,367
5/27/2016,0:26:04,2.96,0:08:49,335
5/28/2016,0:37:50,3.99,0:09:29,453
6/1/2016,1:16:05,7.88,0:09:39,895
6/2/2016,0:56:59,6.01,0:09:29,676
6/3/2016,0:53:51,6,0:08:59,680
6/5/2016,0:33:26,3.97,0:08:25,447
6/6/2016,0:45:47,5.01,0:09:08,564
6/8/2016,0:49:06,5.32,0:09:14,609
6/10/2016,1:07:24,6.96,0:09:41,792
6/12/2016,0:23:58,3.01,0:07:58,341
6/13/2016,1:09:03,7,0:09:52,798
6/14/2016,0:46:53,4.9,0:09:34,557
6/15/2016,0:27:10,3.01,0:09:02,335
6/17/2016,1:06:44,7.02,0:09:30,796
6/18/2016,0:43:21,4.71,0:09:12,529
6/19/2016,0:42:02,4.5,0:09:19,517
6/20/2016,1:06:46,6.89,0:09:42,784
6/22/2016,0:35:55,4.01,0:08:57,451
6/23/2016,0:34:25,4.01,0:08:35,454
6/24/2016,0:36:36,4.07,0:09:00,461
6/25/2016,0:47:14,5.02,0:09:25,575
6/27/2016,1:36:03,10.03,0:09:35,1144
6/28/2016,0:33:54,4.01,0:08:27,455
6/30/2016,0:45:08,5.01,0:09:01,565
7/2/2016,0:54:50,6.21,0:08:50,695
7/6/2016,1:49:56,11,0:10:00,1268
7/11/2016,0:36:41,3.99,0:09:12,457
7/12/2016,0:34:02,3.75,0:09:05,426
7/14/2016,1:07:01,7,0:09:35,798
7/15/2016,0:35:54,4,0:08:59,453
7/18/2016,0:44:38,5,0:08:56,568
7/19/2016,0:58:51,6.01,0:09:48,674
7/20/2016,0:26:16,3,0:08:42,345
7/21/2016,0:51:07,5.5,0:09:18,627
7/23/2016,0:32:03,3.75,0:08:33,424
7/25/2016,1:38:03,10.01,0:09:48,1135
7/26/2016,1:07:08,6.8,0:09:52,772
7/27/2016,0:47:14,4.8,0:09:50,547
7/30/2016,0:57:22,6,0:09:34,684
7/31/2016,1:05:15,7.01,0:09:19,787
8/1/2016,1:06:38,7,0:09:31,801
8/3/2016,2:10:04,13.11,0:09:55,1502
8/4/2016,0:48:27,5.01,0:09:40,572
8/8/2016,1:03:21,6.8,0:09:19,768
8/9/2016,1:08:24,7.01,0:09:46,795
8/10/2016,2:38:58,16.01,0:10:16,1817
8/12/2016,1:08:22,7.01,0:09:45,793
8/15/2016,0:40:34,4.53,0:08:57,513
8/16/2016,3:03:34,18.01,0:10:12,2050
8/17/2016,0:33:24,3.5,0:09:33,393
8/19/2016,0:47:03,4.97,0:09:28,562
8/22/2016,1:15:43,8.01,0:09:27,902
8/23/2016,1:56:32,12.01,0:09:42,1363
8/24/2016,0:28:38,3.11,0:09:13,349
8/25/2016,0:52:45,6.01,0:08:47,679
8/26/2016,0:57:09,6.01,0:09:31,677
8/28/2016,1:00:31,7.04,0:08:36,791
8/29/2016,0:28:56,3.51,0:08:15,398
8/31/2016,1:02:32,7.01,0:08:55,786
9/3/2016,1:00:36,7.04,0:08:36,796
9/4/2016,0:34:33,4.02,0:08:33,459
9/5/2016,1:03:26,7.03,0:09:02,794
9/7/2016,1:11:13,7.76,0:09:11,873
9/11/2016,1:01:13,7.01,0:08:44,789
9/12/2016,0:39:26,4.86,0:08:07,544
9/13/2016,0:27:35,3.51,0:07:52,388
9/14/2016,1:01:27,7.02,0:08:45,788
9/15/2016,1:17:09,8.5,0:09:05,976
9/16/2016,0:43:52,5.01,0:08:46,561
9/18/2016,0:33:03,4.01,0:08:15,453
9/20/2016,0:56:25,6.51,0:08:40,730
9/21/2016,0:30:50,4.01,0:07:41,455
9/23/2016,0:32:23,4.01,0:08:05,451
9/25/2016,0:35:04,4.01,0:08:45,457
9/28/2016,1:14:06,8.43,0:08:43,984
9/29/2016,1:12:07,8.45,0:08:32,966
10/1/2016,1:01:30,7.5,0:08:12,848
10/2/2016,0:31:29,4,0:07:52,454
