HD,constellation,Star,ColorIndex,Distance,AbsMag
,,Sol,0.656,0.000004848,4.85
28,Pisces,,1.029,39.4011032309,1.6324580888
123,Cassiopeia,V640 Cas,0.687,20.2839756592,4.4442345964
142,Phoenix,,0.519,25.641025641,3.6553230351
358,Andromeda,Alpheratz,-0.038,29.7619047619,-0.2983036131
432,Cassiopeia,Caph,0.38,16.6972783436,1.1667715654
496,Phoenix,,1.013,42.9553264605,0.7149148799
693,Cetus,,0.487,18.8893086513,3.5089196848
739,Sculptor,,0.459,21.8102508179,3.5466967
905,Andromeda,,0.331,35.0017500875,2.9895512019
1404,Andromeda,,0.054,43.2713111207,1.3289997274
1581,Tucana,,0.576,8.5925416738,4.5593917643
1671,Andromeda,,0.442,48.971596474,1.7102786888
1835,Cetus,BE Cet,0.659,20.3873598369,4.8431950586
2151,Hydrus,,0.618,7.4749588877,3.4519559581
2261,Phoenix,Ankaa,1.083,23.7304224015,0.5234726564
2262,Phoenix,,0.175,23.5238767349,2.0724555248
2726,Phoenix,,0.367,45.0653447499,2.4007865112
2884,Tucana,,-0.064,42.8265524625,1.2014344245
3003,Tucana,,0.038,46.468401487,1.734211335
3158,Phoenix,,0.472,25.6213169357,3.5269927564
3196,Cetus,,0.567,21.0482003789,3.5839251521
3302,Phoenix,,0.461,36.2187613184,2.7153320332
3326,Cetus,BG Cet,0.297,49.7017892644,2.5781398819
3443,Cetus,,0.715,15.5327741535,4.6137548617
3627,Andromeda,,1.268,31.0655483069,0.8086048834
3651,Pisces,,0.85,11.1074086416,5.6519362507
3735,Sculptor,Z Scl,0.519,41.4593698176,3.5918865173
3823,Tucana,,0.564,25.4712175242,3.8597514763
4089,Tucana,,0.515,40.6669377796,2.3337926437
4128,Cetus,Diphda,1.019,29.3772032902,-0.3000522429
4247,Cetus,,0.35,27.8396436526,2.99668164
4307,Cetus,,0.603,31.8572793883,3.6339565785
4391,Phoenix,,0.635,14.94321578,4.9277796615
4614,Cassiopeia,,0.587,5.9527352819,4.5864171505
4628,Pisces,,0.89,7.4604595643,6.3761720958
4676,Pisces,,0.502,23.9234449761,3.1758814089
4813,Cetus,,0.514,15.4583397743,4.2241857557
5015,Cassiopeia,,0.54,18.5701021356,3.4559285382
5286,Andromeda,,1.012,38.9256520047,2.5088205213
5448,Andromeda,,0.13,41.7885499373,0.7547134931
6479,Pisces,,0.383,45.7247370828,3.0492439152
6480,Pisces,,0.484,44.0722785368,4.0391724794
6582,Cassiopeia,,0.704,7.5528700906,5.7794399255
6680,Pisces,,0.398,41.8935902807,3.119262095
6695,Pisces,,0.121,49.4315373208,2.0899794139
