"Movie","ReleaseDate","Distributor","Genre","Rating"
"City Lights","Jan 30, 1931","United Artists","Comedy","G"
"Snow White and the Seven Dwarfs","Dec 21, 1937","Walt Disney","Musical","G"
"Gone with the Wind","Dec 15, 1939","MGM","Drama","G"
"Pinocchio","Feb 9, 1940","Walt Disney","Adventure","G"
"Fantasia","Nov 13, 1940","Walt Disney","Musical","G"
"Second Chorus","Jan 3, 1941","","Multiple Genres","G"
"Penny Serenade","Apr 24, 1941","","Drama","G"
"Dumbo","Oct 23, 1941","","Adventure","G"
"Mrs. Miniver","Jun 4, 1942","","Drama","G"
"Yankee Doodle Dandy","Jun 6, 1942","","Multiple Genres","G"
"Bambi","Aug 13, 1942","RKO Radio Pictures","Drama","G"
"Saludos Amigos","Feb 6, 1943","","Adventure","G"
"For Whom the Bell Tolls","Jul 14, 1943","","Multiple Genres","G"
"Song of the South","Nov 12, 1946","Walt Disney","Adventure","G"
"Cinderella","Feb 15, 1950","Walt Disney","Musical","G"
"Lady and the Tramp","Jun 22, 1955","Walt Disney","Drama","G"
"The Ten Commandments","Oct 5, 1956","","Drama","G"
"Ben-Hur","Nov 18, 1959","MGM","Adventure","G"
"101 Dalmatians","Jan 25, 1961","Walt Disney","Adventure","G"
"Babes in Toyland","Dec 14, 1961","Walt Disney","Musical","G"
"Cleopatra","Jun 12, 1963","20th Century Fox","Drama","G"
"Hey There, It's Yogi Bear","Jun 3, 1964","Atlantic","Adventure","G"
"A Hard Day's Night","Aug 11, 1964","Universal","Comedy","G"
"Mary Poppins","Aug 26, 1964","","Musical","G"
"My Fair Lady","Oct 22, 1964","","Musical","G"
"The Greatest Story Ever Told","Feb 15, 1965","MGM","Drama","G"
"The Sound of Music","Mar 2, 1965","20th Century Fox","Musical","G"
"Barefoot in the Park","May 25, 1967","Paramount Pictures","Romantic Comedy","G"
"Thoroughly Modern Millie","Jun 14, 1967","Universal","","G"
"Camelot","Oct 25, 1967","Warner Bros.","Musical","G"
"Planet of the Apes","Feb 8, 1968","","","G"
"Blackbeard's Ghost","Feb 8, 1968","Walt Disney","Comedy","G"
"2001: A Space Odyssey","Apr 2, 1968","","Adventure","G"
"Speedway","Apr 15, 1968","","","G"
"The Odd Couple","May 2, 1968","","Comedy","G"
"The Green Berets","Jun 19, 1968","","Action","G"
"Inspector Clouseau","Jul 19, 1968","","Comedy","G"
