"Movie","ReleaseDate","ProductionBudget","DomesticGross","WorldwideGross","Distributor","Genre","Rating"
"Avatar","12/18/2009","$425,000,000","$760,507,625","$2,783,918,982","20th Century Fox","Action","PG-13"
"Pirates of the Caribbean: On Stranger Tides","05/20/2011","$410,600,000","$241,063,875","$1,045,663,875","Walt Disney","Adventure","PG-13"
"Avengers: Age of Ultron","05/01/2015","$330,600,000","$459,005,868","$1,408,218,722","Walt Disney","Action","PG-13"
"Star Wars Ep. VII: The Force Awakens","12/18/2015","$306,000,000","$936,662,225","$2,058,662,225","Walt Disney","Adventure","PG-13"
"Pirates of the Caribbean: At World’s End","05/24/2007","$300,000,000","$309,420,425","$963,420,425","Walt Disney","Adventure","PG-13"
"Justice League","11/17/2017","$300,000,000","$228,391,093","$655,900,524","Warner Bros.","Action","PG-13"
"Spectre","11/06/2015","$300,000,000","$200,074,175","$879,620,923","Sony Pictures","Action","PG-13"
"The Dark Knight Rises","07/20/2012","$275,000,000","$448,139,099","$1,084,439,099","Warner Bros.","Action","PG-13"
"The Lone Ranger","07/02/2013","$275,000,000","$89,302,115","$260,002,115","Walt Disney","Western","PG-13"
"John Carter","03/09/2012","$275,000,000","$73,058,679","$282,778,100","Walt Disney","Adventure","PG-13"
"Tangled","11/24/2010","$260,000,000","$200,821,936","$586,477,240","Walt Disney","Musical","PG"
"Spider-Man 3","05/04/2007","$258,000,000","$336,530,303","$894,860,230","Sony Pictures","Adventure","PG-13"
"Captain America: Civil War","05/06/2016","$250,000,000","$408,084,349","$1,153,304,495","Walt Disney","Action","PG-13"
"Batman v Superman: Dawn of Justice","03/25/2016","$250,000,000","$330,360,194","$868,160,194","Warner Bros.","Action","PG-13"
"The Hobbit: An Unexpected Journey","12/14/2012","$250,000,000","$303,003,568","$1,017,003,568","Warner Bros.","Adventure","PG-13"
"Harry Potter and the Half-Blood Prince","07/15/2009","$250,000,000","$301,959,197","$935,083,686","Warner Bros.","Adventure","PG"
"The Hobbit: The Desolation of Smaug","12/13/2013","$250,000,000","$258,366,855","$960,366,855","Warner Bros.","Adventure","PG-13"
"The Hobbit: The Battle of the Five Armies","12/17/2014","$250,000,000","$255,119,788","$955,119,788","Warner Bros.","Adventure","PG-13"
"The Fate of the Furious","04/14/2017","$250,000,000","$225,764,765","$1,237,466,026","Universal","Action","PG-13"
"Superman Returns","06/28/2006","$232,000,000","$200,120,000","$374,085,065","Warner Bros.","Adventure","PG-13"
"Pirates of the Caribbean: Dead Men Tell No Tales","05/26/2017","$230,000,000","$172,558,876","$794,758,876","Walt Disney","Adventure","PG-13"
"Quantum of Solace","11/14/2008","$230,000,000","$169,368,427","$591,692,078","Sony Pictures","Action","PG-13"
"The Avengers","05/04/2012","$225,000,000","$623,279,547","$1,519,479,547","Walt Disney","Action","PG-13"
"Pirates of the Caribbean: Dead Man’s Chest","07/07/2006","$225,000,000","$423,315,812","$1,066,215,812","Walt Disney","Adventure","PG-13"
"Man of Steel","06/14/2013","$225,000,000","$291,045,518","$667,999,518","Warner Bros.","Action","PG-13"
"The Chronicles of Narnia: Prince Caspian","05/16/2008","$225,000,000","$141,621,490","$417,341,288","Walt Disney","Adventure","PG"
"The Amazing Spider-Man","07/03/2012","$220,000,000","$262,030,663","$757,890,267","Sony Pictures","Adventure","PG-13"
"Transformers: The Last Knight","06/21/2017","$217,000,000","$130,168,683","$603,968,683","Paramount Pictures","Action","PG-13"
"Jurassic World","06/12/2015","$215,000,000","$652,270,625","$1,671,713,208","Universal","Action","PG-13"
"Men in Black 3","05/25/2012","$215,000,000","$179,020,854","$654,213,485","Sony Pictures","Adventure","PG-13"
"Transformers: Revenge of the Fallen","06/24/2009","$210,000,000","$402,111,870","$836,519,699","Paramount Pictures","Action","PG-13"
"Transformers: Age of Extinction","06/27/2014","$210,000,000","$245,439,076","$1,104,039,076","Paramount Pictures","Action","PG-13"
"X-Men: The Last Stand","05/26/2006","$210,000,000","$234,362,462","$459,260,946","20th Century Fox","Action","PG-13"
"Robin Hood","05/14/2010","$210,000,000","$105,269,730","$322,241,588","Universal","Action","PG-13"
"Battleship","05/18/2012","$209,000,000","$65,233,400","$305,218,228","Universal","Action","PG-13"
"King Kong","12/14/2005","$207,000,000","$218,080,025","$550,517,357","Universal","Adventure","PG-13"
"The Golden Compass","12/07/2007","$205,000,000","$70,107,728","$367,262,558","New Line","Adventure","PG-13"
"Titanic","12/19/1997","$200,000,000","$659,363,944","$2,208,305,239","Paramount Pictures","Thriller/Suspense","PG-13"
"Rogue One: A Star Wars Story","12/16/2016","$200,000,000","$532,177,324","$1,050,988,488","Walt Disney","Adventure","PG-13"
"Finding Dory","06/17/2016","$200,000,000","$486,295,561","$1,022,617,376","Walt Disney","Adventure","PG"
"Toy Story 3","06/18/2010","$200,000,000","$415,004,880","$1,069,666,004","Walt Disney","Adventure","G"
"Iron Man 3","05/03/2013","$200,000,000","$408,992,272","$1,215,392,272","Walt Disney","Action","PG-13"
"Guardians of the Galaxy Vol 2","05/05/2017","$200,000,000","$389,813,101","$863,197,744","Walt Disney","Action","PG-13"
"Spider-Man 2","06/30/2004","$200,000,000","$373,524,485","$795,110,670","Sony Pictures","Adventure","PG-13"
"Alice in Wonderland","03/05/2010","$200,000,000","$334,191,110","$1,025,491,110","Walt Disney","Adventure","PG"
"Skyfall","11/08/2012","$200,000,000","$304,360,277","$1,110,526,981","Sony Pictures","Action","PG-13"
"Monsters University","06/21/2013","$200,000,000","$268,488,329","$743,588,329","Walt Disney","Adventure","G"
"Oz the Great and Powerful","03/08/2013","$200,000,000","$234,770,996","$490,359,051","Walt Disney","Adventure","PG"
"X-Men: Days of Future Past","05/23/2014","$200,000,000","$233,921,534","$747,862,775","20th Century Fox","Action","PG-13"
"The Amazing Spider-Man 2","05/02/2014","$200,000,000","$202,853,933","$708,996,336","Sony Pictures","Action","PG-13"
"Cars 2","06/24/2011","$200,000,000","$191,450,875","$560,155,383","Walt Disney","Adventure","G"
