"fips","variable","value"
"10001","1992",0
"10001","1993",0
"10001","1994",0
"10001","1995",0
"10001","1996",0
"10001","1997",0
"10001","1998",0
"10001","1999",0
"10001","2000",0
"10001","2001",0
"10001","2002",0
"10001","2003",0
"10001","2004",0
"10001","2005",0
"10001","2006",0
"10001","2007",0
"10001","2008",0
"10001","2009",0
"10001","2010",0
"10001","2011",0
"10001","2012",1
"10001","2013",0
"10001","2014",1
"10001","2015",0
"10005","1992",0
"10005","1993",0
"10005","1994",0
"10005","1995",0
"10005","1996",0
"10005","1997",0
"10005","1998",0
"10005","1999",0
"10005","2000",0
"10005","2001",0
"10005","2002",0
"10005","2003",0
"10005","2004",0
"10005","2005",0
"10005","2006",0
"10005","2007",0
"10005","2008",0
"10005","2009",0
"10005","2010",0
"10005","2011",0
"10005","2012",18
"10005","2013",0
"10005","2014",2
"10005","2015",16
"1001","1992",0
"1001","1993",0
"1001","1994",59
"1001","1995",106
"1001","1996",33
"1001","1997",0
"1001","1998",0
"1001","1999",0
"1001","2000",0
"1001","2001",0
"1001","2002",0
"1001","2003",43
"1001","2004",86
"1001","2005",63
"1001","2006",62
"1001","2007",93
"1001","2008",30
"1001","2009",16
"1001","2010",25
"1001","2011",30
"1001","2012",31
"1001","2013",39
"1001","2014",48
"1001","2015",24
"1003","1992",0
"1003","1993",0
"1003","1994",277
"1003","1995",237
"1003","1996",314
"1003","1997",0
"1003","1998",0
"1003","1999",0
"1003","2000",0
"1003","2001",0
"1003","2002",0
"1003","2003",135
"1003","2004",167
"1003","2005",135
"1003","2006",199
"1003","2007",126
"1003","2008",67
"1003","2009",86
"1003","2010",102
"1003","2011",184
"1003","2012",75
"1003","2013",107
"1003","2014",104
"1003","2015",141
"1005","1992",0
"1005","1993",0
"1005","1994",34
"1005","1995",22
"1005","1996",39
"1005","1997",0
"1005","1998",0
"1005","1999",0
"1005","2000",0
"1005","2001",0
"1005","2002",0
"1005","2003",8
"1005","2004",43
"1005","2005",13
"1005","2006",24
"1005","2007",16
"1005","2008",16
"1005","2009",17
"1005","2010",11
"1005","2011",34
"1005","2012",19
"1005","2013",16
"1005","2014",23
"1005","2015",12
"1007","1992",0
"1007","1993",0
"1007","1994",63
"1007","1995",88
"1007","1996",118
"1007","1997",0
"1007","1998",0
"1007","1999",0
"1007","2000",0
"1007","2001",0
"1007","2002",0
"1007","2003",25
"1007","2004",59
"1007","2005",30
"1007","2006",53
"1007","2007",35
"1007","2008",33
"1007","2009",22
"1007","2010",19
"1007","2011",25
"1007","2012",21
"1007","2013",22
"1007","2014",34
"1007","2015",27
"1009","1992",0
"1009","1993",0
"1009","1994",30
"1009","1995",50
"1009","1996",37
"1009","1997",0
"1009","1998",0
"1009","1999",0
"1009","2000",0
"1009","2001",0
"1009","2002",0
"1009","2003",32
"1009","2004",20
"1009","2005",30
"1009","2006",46
"1009","2007",70
"1009","2008",21
"1009","2009",15
"1009","2010",33
"1009","2011",13
"1009","2012",19
"1009","2013",26
"1009","2014",46
"1009","2015",19
"1011","1992",0
"1011","1993",0
"1011","1994",54
